ID_T_EQUIP_LOG,SITE,SYS_ID,TRACK_ID,STATUS,RMK,CYCLE_COUNT,ACTION,CYCLE_TIME,REG_DTM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,59,OUT,01:25,3/27/2025 8:55:18 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 8:55:20 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 8:55:40 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/27/2025 8:55:43 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/27/2025 8:56:21 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 8:56:26 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,60,IN,01:24,3/27/2025 8:56:44 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 8:56:45 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 8:57:03 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/27/2025 8:57:08 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/27/2025 8:57:48 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 8:57:50 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,61,OUT,01:25,3/27/2025 8:58:10 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 8:58:11 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 8:58:32 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/27/2025 8:58:36 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/27/2025 8:59:13 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 8:59:18 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,62,IN,01:25,3/27/2025 8:59:36 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 8:59:38 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 8:59:55 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/27/2025 9:00:00 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/27/2025 9:00:40 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 9:00:42 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,63,OUT,01:24,3/27/2025 9:01:02 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 9:01:03 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 9:01:23 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/27/2025 9:01:27 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/27/2025 9:02:05 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 9:02:10 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,64,IN,01:25,3/27/2025 9:02:28 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 9:02:29 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 9:02:47 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/27/2025 9:02:52 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/27/2025 9:03:31 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 9:03:34 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 9:03:55 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,,,,3/27/2025 9:03:55 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 9:04:16 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/27/2025 9:04:19 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/27/2025 9:04:58 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 9:05:02 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,,,,3/27/2025 9:05:20 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 9:05:21 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 9:05:39 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/27/2025 9:05:44 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/27/2025 9:06:24 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/27/2025 9:06:26 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,65,OUT,01:25,3/27/2025 9:06:46 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/27/2025 9:06:48 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/27/2025 9:07:08 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/27/2025 9:07:11 AM
